ID,商品名称,价格（元）,近30天销量（件）,广告词,促销活动,评论数,日期,品牌
560177705331 ,汾酒53度玻汾+42度玻汾475ml清香型白酒酒厂直供,82,183,官方授权 天猫配送 保真快捷,,151,2018/2/27,汾酒
521198643649 ,洋河老字号 清字号52度500ml 白酒 猫超自营优惠,82,47,年货节不支持礼袋,满69元减10元；满99元减30元,50,2018/2/27,洋河
43540030605 ,汾酒集团53度一坛香珍藏1988清香白酒单瓶装,82.8,1355,系出名门 品质保证,,1393,2018/2/27,汾酒
563330301174 ,山西汾酒杏花村竹叶青45度出口竹玻璃瓶500ml*2瓶酒厂直供,84,156,官方授权 天猫配送 保真快捷,,48,2018/2/27,汾酒
560904833726 ,牛栏山 百年红（6） 50度 双瓶装 500ml*2 口感浓香型,84,51,,,17,2018/2/27,牛栏山
560905429755 ,牛栏山 百年红（6） 35度 双瓶装 500ml*2（内含礼袋1）,84,15,,,6,2018/2/27,牛栏山
528082222060 ,红星二锅头酒60度 5L清香型白酒 特价酒厂直供,85,506,老百姓爱喝的二锅头 满减更优惠 天猫自营,,4730,2018/2/27,红星
556484468483 ,郎酒郎牌特曲T3精英版50度 500mL浓香型 白酒国产,85,86,,满2件送任意1件赠品（赠完即止）,25,2018/2/27,郎酒
522861678630 ,洋河 青瓷52度480ml 浓香型 白酒 猫超自营品质保证,86,516,年货节不支持礼袋,满69元减10元；满99元减30元,443,2018/2/27,洋河
537501705958 ,牛栏山 大二锅头 56度 500ml*12瓶 整箱 绿瓶白酒,88,6271,正宗牛栏山 地道北京味,,8155,2018/2/27,牛栏山
525495695080 ,Moutai/茅台迎宾53度茅台迎宾酒500ml 酒厂直供,88,325,2瓶送一个手提袋 拍多请分开下单,满2件送任意1件赠品（赠完即止）,4212,2018/2/27,茅台
520569385463 ,洋河 蓝瓷42度480ml 浓香型 白酒厂家直供猫超自营,88,553,年货节不支持礼袋,满69元减10元；满99元减30元,804,2018/2/27,洋河
541403633561 ,【天猫超市】Moutai/茅台迎宾43度茅台迎宾酒500ml 酒厂直供,88,117,每买2瓶 赠1个礼品袋。买多请分开下单,满2件送任意1件赠品（赠完即止）,655,2018/2/27,茅台
520279669207 ,五粮液股份公司 万事如意中国红52度浓香型白酒500ml,88,105,四川宜宾产 品质保证,满99元减50元,327,2018/2/27,五粮液
540468165101 ,45度天佑德青海互助青稞酒生态三星清香型酒厂直供,88,87,凛冽芬芳 回味绵长,,264,2018/2/27,天佑德
540627418684 ,牛栏山52度珍品陈酿20年土豪金牛1L浓香型白酒,88,113,,,232,2018/2/27,牛栏山
530248385100 ,牛栏山二锅头黄瓷嘉酿 浓香型 45度 500ml 单瓶装,88,163,正宗牛栏山 地道北京味,满99元减50元送任意1件赠品（赠完即止）,230,2018/2/27,牛栏山
533880894686 ,古井贡酒红运H3-50度500ml浓香型白酒纯粮食酒古井贡,88,53,,满2件7.5折送任意1件赠品（赠完即止）,40,2018/2/27,古井贡酒
527172525371 ,汾酒集团 杏花村 百年汾杏 精酿 475ml 白酒,89,1311,新老包装随机发货,,3024,2018/2/27,汾酒
541898645074 ,西凤 西凤名酿V28 52度 500mL 白酒浓香型国产,89,3021,新老包装随机发货,,2883,2018/2/27,西凤
522092833971 ,白云边金三星45度白酒500mL浓香型粮食酒白酒特价,89,707,湖北名酒 陈年浓香 纯粮发酵 精细制曲,满2件5折,1501,2018/2/27,白云边
539103138378 ,古井贡酒 经典50度 浓香型白酒500ml/瓶 礼盒装,89,1341,古井贡酒 浓香型白酒,满2件5折,1445,2018/2/27,古井贡酒
542569577352 ,江小白国产白酒青春版40度500ml单瓶高粱粮食酒,89,498,纯高粱酿造 入口柔和 口感纯净 回味甘甜,满189元送任意1件赠品（赠完即止）；满229元送任意1…,1208,2018/2/27,江小白
540451165023 ,贵州茅台集团循环产投 封坛1992 N29 500mL 白酒,89,227,,满2件5折,882,2018/2/27,茅台
45444305327 ,茅台集团习酒红习酱53度 500ml酱香型 小酌 白酒,89,36,君子之品 东方习酒 猫超自营 百城次日达,满2件送任意1件赠品（赠完即止）,532,2018/2/27,茅台
521930714170 ,四特东方韵系列 弘韵52度 375ml特香型白酒酒厂直供,89,103,特香典范 中国四特 猫超自营 百城次日达,,272,2018/2/27,四特
544777022181 ,贵州茅台集团52度茅乡窖龄红500ml浓香型 国产白酒,89,73,,满2件5折,203,2018/2/27,茅台
522076239142 ,白云边九年陈酿白云边酒42度浓酱兼香型白酒500mL,89,4,湖北名酒 纯粮发酵 精细制曲 品牌名酒,,153,2018/2/27,白云边
19164838560 ,四特锦瓷系列锦瓷三星52度 460ml特香白酒酒厂直供,89,47,特香典范 中国四特 猫超自营 百城次日达,满199元减40元送任意1件赠品（赠完即止）；满299元减…,116,2018/2/27,四特
538672829548 ,泸州老窖52度八年陈头曲酒祥品500ml浓香型白酒,89,31,,满2件送任意1件赠品（赠完即止）,76,2018/2/27,泸州老窖
562844194861 ,红星二锅头酒绿瓶大二56度500ml*2+43度绵柔8陈酿 750ml*2,89,30,,,16,2018/2/27,红星
562179693313 ,牛栏山56度5L桶装二锅头泡药酒+宁夏红枸杞500g组合装,89.9,29,桶装泡药酒与枸杞完美组合,,20,2018/2/27,牛栏山
555170720297 ,牛栏山 百年红（10） 52度 单瓶装 500ml 口感浓香型,90,62,,满2件送任意1件赠品（赠完即止）,43,2018/2/27,牛栏山
560812096828 ,牛栏山 珍品（15） 45度 双瓶装 400ml*2 口感清香型,90,86,正宗牛栏山地道北京味,,39,2018/2/27,牛栏山
521708393406 ,古井贡酒30年窖龄50度500ml浓香型白酒纯粮酒古井贡,95,165,需要礼品袋 请拍双瓶装 双瓶装链接 见详情页,满99元减10元送任意1件赠品（赠完即止）；满499元减5…,82,2018/2/27,古井贡酒
535688210070 ,五粮液股份公司大成唐窖珍酿3D装52度500ml白酒浓香,96,684,,满2件5折,11371,2018/2/27,五粮液
541968934602 ,西凤 西凤名酿久藏级 52度 500mL 浓香型 国产白酒,96,814,,,2761,2018/2/27,西凤
540284301636 ,古井贡酒逍遥50度500ml浓香型白酒纯粮食酒古井贡,96,136,古井贡酒 天猫自营 百城次日达,满2件7.5折送任意1件赠品（赠完即止）,125,2018/2/27,古井贡酒
525967673633 ,牛栏山二锅头百年陈酿（三牛）36度400ml 单瓶装,97,755,正宗牛栏山 地道北京味,,1267,2018/2/27,牛栏山
561041539158 ,牛栏山 百年红（8） 38度 双瓶装 500ml*2 口感浓香型,97.6,56,,,27,2018/2/27,牛栏山
538174274033 ,稻花香珍品二号52度500ml单瓶装浓香型白酒 高度送礼粮食酒,98,288,天猫超市自营 正品保证 百城次日达,满2件5折,269,2018/2/27,稻花香
522862301561 ,洋河 蓝瓷52度480ml 浓香型 白酒 猫超自营酒厂直供,98,300,年货节不支持礼袋,满69元减10元；满99元减30元,225,2018/2/27,洋河
554776433054 ,郎酒 三溪郎 A5 浓香型 高度 白酒52度500ml,98,12,2瓶送1个礼袋 2瓶及以上请拍双支装,,178,2018/2/27,郎酒
538926498510 ,安达情闷倒驴45度白大闷500ml*12清香型白酒整箱装,98,14,纯粮高度酒 好喝不上头,,140,2018/2/27,安达情
557602050808 ,郎酒三溪郎A5-52度500ml*2套装 猫超自营 酒厂直供,98,9,,,24,2018/2/27,郎酒
